Item_Description,Amount,Traffic_Source,Session_Duration
Lanyard,6,Referral,"3,356"
Android T-Shirt,20,Direct,"2,657"
Google Water Bottle,10,Social Media,"1,015"
Google Hoodie,124,Referral,598
Android T-Shirt,20,Paid Search,288
Google Stickers,5,Organic Search,"2,072"
Google Stickers,5,Referral,533
Backpack,125,Organic Search,"1,576"
Google Stickers,5,Organic Search,606
Google Hoodie,124,Paid Search,"3,001"
Google Stickers,5,Referral,"1,069"
Google Water Bottle,10,Paid Search,"3,176"
Android T-Shirt,20,Organic Search,"2,242"
Google Stickers,5,Paid Search,411
Google Stickers,5,Referral,"1,631"
Greeting Cards,6,Organic Search,"1,427"
Google Hoodie,124,Organic Search,"2,914"
Google Stickers,5,Direct,"3,448"
Google Hoodie,124,Organic Search,"2,356"
Google Stickers,5,Social Media,51
YouTube Cap,15,Referral,37
Android T-Shirt,20,Organic Search,771
Android T-Shirt,20,Referral,536
Google Water Bottle,10,Organic Search,"1,840"
Google Hoodie,124,Referral,"1,401"
Google Stickers,5,Organic Search,"2,387"
Google Hoodie,124,Organic Search,"2,956"
Google Stickers,5,Organic Search,"1,906"
Google Stickers,5,Paid Search,"3,243"
Lanyard,6,Organic Search,"2,851"
YouTube Cap,15,Organic Search,911
Backpack,125,Paid Search,981
Puffer Vest,115,Social Media,192
Google Stickers,5,Paid Search,"1,499"
Google Stickers,5,Direct,853
Google Stickers,5,Referral,"3,036"
Google Hoodie,124,Direct,"1,413"
Puffer Vest,115,Paid Search,"2,625"
YouTube Cap,15,Direct,"1,473"
Google Stickers,5,Paid Search,"2,795"
Puffer Vest,115,Direct,"3,275"
Google Stickers,5,Paid Search,"1,649"
Google Stickers,5,Direct,174
Google Stickers,5,Social Media,377
Lanyard,6,Paid Search,"1,178"
Android T-Shirt,20,Referral,"1,370"
Google Water Bottle,10,Direct,"2,233"
Google Stickers,5,Social Media,"2,405"
Puffer Vest,115,Organic Search,"2,608"
Android T-Shirt,20,Referral,"3,561"
Google Water Bottle,10,Referral,893
Google Stickers,5,Referral,598
Google Hoodie,124,Direct,"2,516"
Google Stickers,5,Referral,943
Google Hoodie,124,Organic Search,"1,728"
Google Hoodie,124,Social Media,770
Notebook,20,Referral,5
Google Stickers,5,Direct,"3,005"
YouTube Cap,15,Paid Search,"2,253"
Lanyard,6,Organic Search,"2,018"
Google Water Bottle,10,Organic Search,"1,916"
Puffer Vest,115,Paid Search,"2,664"
Google Water Bottle,10,Social Media,460
Android T-Shirt,20,Direct,375
Google Stickers,5,Paid Search,"1,308"
Google Stickers,5,Referral,828
Google Stickers,5,Social Media,342
YouTube Cap,15,Organic Search,142
Greeting Cards,6,Paid Search,105
Canvas Tote,18,Paid Search,"1,447"
Google Stickers,5,Social Media,"1,679"
Google Stickers,5,Referral,642
YouTube Cap,15,Direct,"2,298"
Google Water Bottle,10,Direct,"2,405"
Google Hoodie,124,Direct,"2,977"
Google Stickers,5,Direct,"3,232"
YouTube Cap,15,Paid Search,921
Greeting Cards,6,Direct,"2,904"
Canvas Tote,18,Direct,375
Google Hoodie,124,Direct,"1,727"
Google Hoodie,124,Paid Search,"3,008"
Google Hoodie,124,Direct,"1,158"
Lanyard,6,Organic Search,"2,971"
Google Stickers,5,Referral,"2,901"
Google Stickers,5,Paid Search,"2,356"
Google Stickers,5,Social Media,"2,334"
Google Stickers,5,Paid Search,"2,452"
YouTube Cap,15,Organic Search,461
Lanyard,6,Referral,"2,747"
Canvas Tote,18,Organic Search,"1,186"
YouTube Cap,15,Social Media,"2,859"
Google Stickers,5,Paid Search,"2,548"
Google Stickers,5,Social Media,691
Notebook,20,Organic Search,"1,430"
YouTube Cap,15,Social Media,"2,564"
Google Stickers,5,Referral,19
Google Hoodie,124,Social Media,"1,449"
Google Water Bottle,10,Referral,"1,528"
Google Water Bottle,10,Referral,749
Google Stickers,5,Organic Search,343
YouTube Cap,15,Direct,371
Google Stickers,5,Social Media,"2,233"
Google Water Bottle,10,Paid Search,"2,917"
Lanyard,6,Paid Search,"1,682"
Canvas Tote,18,Organic Search,"1,420"
Google Stickers,5,Organic Search,"2,465"
Lanyard,6,Paid Search,"1,885"
Lanyard,6,Referral,93
Google Stickers,5,Social Media,408
Google Hoodie,124,Direct,"2,669"
Android T-Shirt,20,Direct,"1,795"
Canvas Tote,18,Paid Search,"1,235"
Lanyard,6,Organic Search,"1,939"
Notebook,20,Referral,366
YouTube Cap,15,Organic Search,"2,979"
Google Stickers,5,Direct,"2,208"
Notebook,20,Organic Search,106
Google Stickers,5,Paid Search,803
Google Hoodie,124,Paid Search,"1,216"
Canvas Tote,18,Organic Search,"3,264"
Google Stickers,5,Direct,"2,973"
Android T-Shirt,20,Referral,41
Google Hoodie,124,Organic Search,"2,488"
Google Stickers,5,Direct,"2,162"
Google Stickers,5,Direct,647
Google Stickers,5,Direct,"1,781"
Greeting Cards,6,Paid Search,"2,758"
Google Stickers,5,Organic Search,"1,281"
Google Stickers,5,Direct,"1,405"
Google Stickers,5,Organic Search,"2,655"
Greeting Cards,6,Direct,676
Puffer Vest,115,Organic Search,903
Google Stickers,5,Direct,"3,272"
Canvas Tote,18,Paid Search,820
Canvas Tote,18,Direct,"2,890"
Google Stickers,5,Paid Search,"3,332"
Google Stickers,5,Social Media,"1,243"
Greeting Cards,6,Paid Search,"1,818"
Greeting Cards,6,Referral,"2,916"
Google Stickers,5,Paid Search,"1,776"
Greeting Cards,6,Referral,"2,463"
Google Water Bottle,10,Referral,"2,650"
Canvas Tote,18,Direct,"1,340"
Google Stickers,5,Direct,"3,320"
Google Hoodie,124,Organic Search,25
Google Water Bottle,10,Organic Search,"1,580"
Lanyard,6,Social Media,"2,883"
Android T-Shirt,20,Organic Search,"2,050"
Google Stickers,5,Organic Search,"3,158"
Google Stickers,5,Organic Search,706
Google Hoodie,124,Organic Search,"1,308"
Google Stickers,5,Referral,"1,374"
Google Water Bottle,10,Referral,"1,084"
Google Stickers,5,Referral,"3,056"
Google Stickers,5,Referral,"1,399"
Google Stickers,5,Referral,"2,678"
Puffer Vest,115,Paid Search,"2,687"
Google Stickers,5,Organic Search,882
Lanyard,6,Direct,523
Backpack,125,Social Media,"1,784"
Google Stickers,5,Organic Search,"2,778"
Notebook,20,Organic Search,"2,140"
Google Stickers,5,Direct,"1,668"
Google Stickers,5,Social Media,"1,130"
Google Stickers,5,Social Media,"2,344"
Google Stickers,5,Direct,"3,434"
Android T-Shirt,20,Social Media,"2,676"
Google Stickers,5,Direct,"2,242"
Google Stickers,5,Social Media,"3,348"
Greeting Cards,6,Organic Search,422
Google Water Bottle,10,Direct,342
Android T-Shirt,20,Organic Search,912
Backpack,125,Paid Search,"1,944"
Google Stickers,5,Referral,"2,820"
Google Stickers,5,Direct,143
Backpack,125,Organic Search,"1,755"
Puffer Vest,115,Referral,53
Google Hoodie,124,Paid Search,"2,479"
Google Hoodie,124,Referral,"2,234"
YouTube Cap,15,Referral,900
Google Stickers,5,Referral,83
Google Stickers,5,Referral,277
Google Stickers,5,Paid Search,463
Canvas Tote,18,Referral,"2,778"
Google Stickers,5,Organic Search,"1,639"
Google Hoodie,124,Referral,"3,162"
YouTube Cap,15,Organic Search,250
Google Stickers,5,Referral,"2,787"
Google Water Bottle,10,Referral,"2,772"
YouTube Cap,15,Social Media,"2,417"
Google Stickers,5,Paid Search,"2,506"
Google Stickers,5,Social Media,"3,105"
Backpack,125,Paid Search,889
Google Stickers,5,Referral,992
YouTube Cap,15,Organic Search,"2,579"
Google Stickers,5,Direct,"2,292"
Google Stickers,5,Referral,"1,866"
Canvas Tote,18,Social Media,"1,443"
Google Stickers,5,Organic Search,894
Notebook,20,Paid Search,"1,190"
Android T-Shirt,20,Organic Search,227
Google Hoodie,124,Referral,"1,267"
Google Water Bottle,10,Paid Search,522
Canvas Tote,18,Direct,"3,145"
Puffer Vest,115,Social Media,355
Google Hoodie,124,Social Media,490
Canvas Tote,18,Referral,"2,887"
Google Hoodie,124,Social Media,"3,158"
Google Water Bottle,10,Paid Search,"1,208"
Google Hoodie,124,Referral,"1,240"
Google Water Bottle,10,Organic Search,174
Lanyard,6,Paid Search,"3,435"
Greeting Cards,6,Direct,"3,344"
YouTube Cap,15,Paid Search,"1,284"
Google Stickers,5,Referral,"3,261"
YouTube Cap,15,Paid Search,"1,825"
Google Hoodie,124,Direct,"2,852"
Google Stickers,5,Paid Search,"3,293"
Canvas Tote,18,Direct,742
Android T-Shirt,20,Direct,"2,581"
Google Hoodie,124,Direct,"1,649"
Google Water Bottle,10,Social Media,594
Greeting Cards,6,Referral,"2,781"
Google Stickers,5,Organic Search,"1,451"
Lanyard,6,Referral,"3,169"
YouTube Cap,15,Social Media,141
Google Stickers,5,Referral,"2,188"
Backpack,125,Direct,"2,596"
Google Hoodie,124,Paid Search,"1,493"
Google Stickers,5,Paid Search,"3,128"
Notebook,20,Referral,"2,334"
Android T-Shirt,20,Social Media,"3,314"
Greeting Cards,6,Direct,"2,768"
Puffer Vest,115,Direct,"2,347"
Notebook,20,Social Media,477
Google Stickers,5,Social Media,983
Greeting Cards,6,Referral,531
Google Stickers,5,Social Media,1
Google Stickers,5,Paid Search,"1,748"
Backpack,125,Paid Search,353
Google Hoodie,124,Organic Search,198
Google Hoodie,124,Referral,"2,166"
Notebook,20,Social Media,"3,565"
Greeting Cards,6,Referral,856
Google Stickers,5,Paid Search,294
Google Hoodie,124,Direct,"2,282"
Google Water Bottle,10,Social Media,"1,320"
Backpack,125,Organic Search,"2,216"
Notebook,20,Paid Search,633
Google Stickers,5,Direct,"2,092"
Google Hoodie,124,Organic Search,"1,031"
Google Stickers,5,Referral,447
Canvas Tote,18,Paid Search,"1,883"
Android T-Shirt,20,Social Media,"2,172"
Google Stickers,5,Organic Search,"2,090"
Puffer Vest,115,Social Media,133
Backpack,125,Social Media,"1,631"
Google Stickers,5,Social Media,10
Google Hoodie,124,Social Media,640
Greeting Cards,6,Paid Search,"2,589"
Puffer Vest,115,Referral,"3,028"
YouTube Cap,15,Direct,814
Lanyard,6,Direct,"1,532"
Android T-Shirt,20,Paid Search,442
Backpack,125,Social Media,585
Canvas Tote,18,Social Media,"2,785"
Lanyard,6,Paid Search,"2,322"
Google Stickers,5,Referral,"2,318"
Backpack,125,Social Media,482
Google Water Bottle,10,Direct,"2,714"
Google Stickers,5,Social Media,"2,733"
Backpack,125,Social Media,"1,272"
YouTube Cap,15,Referral,505
Google Stickers,5,Social Media,"1,334"
Google Water Bottle,10,Paid Search,"3,108"
Lanyard,6,Direct,"1,501"
Puffer Vest,115,Social Media,"2,766"
Android T-Shirt,20,Direct,142
Google Stickers,5,Organic Search,197
Google Stickers,5,Referral,"2,803"
YouTube Cap,15,Social Media,"1,008"
Google Stickers,5,Referral,422
Greeting Cards,6,Referral,543
Android T-Shirt,20,Direct,"1,232"
Canvas Tote,18,Referral,"2,140"
Google Stickers,5,Paid Search,"2,745"
Lanyard,6,Referral,422
Backpack,125,Social Media,754
Puffer Vest,115,Social Media,593
Google Hoodie,124,Social Media,"1,690"
Lanyard,6,Social Media,106
Android T-Shirt,20,Organic Search,"2,471"
Lanyard,6,Organic Search,"1,673"
Lanyard,6,Organic Search,"2,943"
Google Stickers,5,Paid Search,641
Google Stickers,5,Paid Search,"3,044"
Google Hoodie,124,Social Media,844
Greeting Cards,6,Referral,"3,036"
YouTube Cap,15,Referral,"1,745"
Google Hoodie,124,Social Media,"1,839"
Google Stickers,5,Social Media,81
YouTube Cap,15,Referral,"1,028"
Google Hoodie,124,Social Media,"1,184"
Google Stickers,5,Referral,250
Puffer Vest,115,Social Media,"1,336"
Google Stickers,5,Organic Search,"1,737"
Google Stickers,5,Referral,"3,080"
Google Stickers,5,Paid Search,"2,449"
Greeting Cards,6,Referral,"1,494"
Canvas Tote,18,Social Media,422
Lanyard,6,Direct,"1,390"
Puffer Vest,115,Organic Search,480
Google Stickers,5,Paid Search,"2,694"
Google Water Bottle,10,Organic Search,"2,142"
Google Water Bottle,10,Organic Search,"1,308"
Google Stickers,5,Organic Search,"2,481"
Canvas Tote,18,Paid Search,"1,435"
Lanyard,6,Social Media,"3,227"
Google Water Bottle,10,Social Media,348
Google Stickers,5,Direct,"3,059"
Google Stickers,5,Social Media,"2,099"
Google Stickers,5,Social Media,"2,126"
Google Stickers,5,Paid Search,971
Google Stickers,5,Social Media,639
Google Stickers,5,Organic Search,373
Google Stickers,5,Organic Search,"3,472"
Greeting Cards,6,Direct,"2,461"
Lanyard,6,Organic Search,"3,258"
Google Stickers,5,Organic Search,623
Google Stickers,5,Referral,"2,270"
Google Stickers,5,Organic Search,"1,451"
Google Water Bottle,10,Referral,"3,594"
Google Hoodie,124,Social Media,798
Google Stickers,5,Paid Search,106
Google Stickers,5,Paid Search,"2,014"
Notebook,20,Organic Search,"1,523"
Backpack,125,Organic Search,334
Google Hoodie,124,Referral,"1,389"
Google Hoodie,124,Direct,"1,306"
Google Hoodie,124,Direct,"2,455"
Greeting Cards,6,Direct,"2,526"
Canvas Tote,18,Referral,"2,124"
Canvas Tote,18,Paid Search,"2,463"
Google Stickers,5,Paid Search,261
Google Stickers,5,Organic Search,"1,990"
Backpack,125,Direct,100
Google Stickers,5,Referral,"3,525"
Notebook,20,Direct,"1,206"
Puffer Vest,115,Paid Search,"2,004"
Google Stickers,5,Social Media,755
Google Water Bottle,10,Organic Search,196
Google Stickers,5,Referral,"2,124"
Google Hoodie,124,Paid Search,"3,567"
Google Stickers,5,Organic Search,53
Canvas Tote,18,Social Media,"1,264"
Google Water Bottle,10,Social Media,"1,168"
YouTube Cap,15,Paid Search,"1,781"
Puffer Vest,115,Referral,"2,714"
Google Water Bottle,10,Referral,"1,968"
Notebook,20,Organic Search,"2,630"
YouTube Cap,15,Social Media,"1,632"
Google Water Bottle,10,Paid Search,"1,274"
Google Stickers,5,Direct,128
Google Stickers,5,Direct,"1,795"
Google Stickers,5,Organic Search,"2,229"
Google Water Bottle,10,Paid Search,"3,258"
Google Stickers,5,Organic Search,47
Notebook,20,Paid Search,"3,009"
Canvas Tote,18,Direct,"2,960"
Google Water Bottle,10,Social Media,314
Google Stickers,5,Referral,"2,195"
Google Stickers,5,Direct,"2,249"
Notebook,20,Direct,358
Canvas Tote,18,Referral,149
Notebook,20,Paid Search,"1,279"
Greeting Cards,6,Organic Search,501
Google Stickers,5,Direct,"1,440"
Google Stickers,5,Direct,"2,857"
Google Stickers,5,Direct,"2,599"
Google Water Bottle,10,Direct,"2,454"
Notebook,20,Referral,"3,228"
YouTube Cap,15,Organic Search,292
Google Stickers,5,Paid Search,142
Notebook,20,Referral,"1,393"
Google Stickers,5,Paid Search,690
Google Stickers,5,Organic Search,"2,966"
Backpack,125,Social Media,"1,740"
Puffer Vest,115,Organic Search,"1,141"
Google Stickers,5,Referral,"1,845"
Google Hoodie,124,Referral,"2,742"
Android T-Shirt,20,Referral,"1,606"
Canvas Tote,18,Direct,"3,481"
Android T-Shirt,20,Organic Search,"1,538"
Google Hoodie,124,Referral,366
Google Stickers,5,Direct,"1,965"
Google Stickers,5,Referral,790
Lanyard,6,Referral,"1,308"
Google Stickers,5,Referral,"2,851"
Canvas Tote,18,Paid Search,"1,585"
Greeting Cards,6,Referral,"2,250"
Google Hoodie,124,Organic Search,"1,858"
Google Stickers,5,Organic Search,43
Google Stickers,5,Social Media,"2,171"
Lanyard,6,Referral,"2,745"
Greeting Cards,6,Direct,"1,890"
Puffer Vest,115,Organic Search,143
Google Stickers,5,Direct,"1,785"
Puffer Vest,115,Direct,"2,159"
Google Stickers,5,Social Media,"2,179"
Google Stickers,5,Paid Search,"2,223"
Google Stickers,5,Referral,"1,345"
Notebook,20,Paid Search,"2,461"
Lanyard,6,Social Media,501
Google Stickers,5,Social Media,"1,349"
Google Stickers,5,Social Media,"2,107"
Google Hoodie,124,Social Media,"3,311"
Google Hoodie,124,Direct,"1,272"
Backpack,125,Paid Search,"2,282"
Backpack,125,Paid Search,536
Lanyard,6,Paid Search,"1,065"
Greeting Cards,6,Organic Search,"2,195"
Lanyard,6,Organic Search,"1,144"
Google Hoodie,124,Organic Search,"1,202"
Google Hoodie,124,Social Media,"3,523"
Puffer Vest,115,Social Media,936
Google Stickers,5,Social Media,129
YouTube Cap,15,Direct,"1,333"
Greeting Cards,6,Referral,739
YouTube Cap,15,Organic Search,"3,233"
Google Stickers,5,Social Media,"3,185"
Lanyard,6,Referral,"3,065"
YouTube Cap,15,Direct,"2,675"
Google Stickers,5,Referral,"1,882"
Google Hoodie,124,Direct,"2,694"
Greeting Cards,6,Social Media,771
Greeting Cards,6,Social Media,"1,362"
Puffer Vest,115,Organic Search,"1,785"
Google Stickers,5,Organic Search,"1,229"
Google Hoodie,124,Social Media,"2,723"
Google Stickers,5,Organic Search,"1,159"
Google Hoodie,124,Paid Search,"3,117"
Google Stickers,5,Social Media,"2,190"
YouTube Cap,15,Referral,"3,153"
Lanyard,6,Social Media,"1,597"
Google Stickers,5,Referral,"1,351"
Lanyard,6,Organic Search,471
Backpack,125,Direct,"1,299"
Google Stickers,5,Organic Search,"1,657"
Google Stickers,5,Direct,"1,956"
Google Hoodie,124,Organic Search,"3,269"
Google Stickers,5,Social Media,"2,365"
Google Stickers,5,Referral,"1,465"
Backpack,125,Direct,"2,994"
YouTube Cap,15,Organic Search,"2,109"
Greeting Cards,6,Referral,348
Notebook,20,Organic Search,"1,779"
Greeting Cards,6,Direct,"2,316"
Google Stickers,5,Referral,76
Notebook,20,Organic Search,775
Google Stickers,5,Paid Search,"1,588"
Google Stickers,5,Direct,"2,884"
Lanyard,6,Organic Search,"3,563"
Google Hoodie,124,Referral,482
Google Hoodie,124,Paid Search,"3,445"
Google Hoodie,124,Social Media,"2,899"
Google Stickers,5,Direct,"1,267"
Backpack,125,Direct,"1,516"
Google Stickers,5,Social Media,936
Google Stickers,5,Social Media,"3,268"
Google Stickers,5,Social Media,"3,421"
Android T-Shirt,20,Social Media,"1,649"
Google Stickers,5,Social Media,"3,212"
Google Water Bottle,10,Direct,"3,358"
Google Stickers,5,Paid Search,"2,803"
Canvas Tote,18,Referral,294
Google Stickers,5,Organic Search,"1,461"
Google Hoodie,124,Organic Search,"2,974"
Notebook,20,Referral,218
Notebook,20,Referral,624
YouTube Cap,15,Paid Search,"3,335"
Lanyard,6,Referral,85
Google Stickers,5,Social Media,"1,839"
Android T-Shirt,20,Paid Search,593
Puffer Vest,115,Paid Search,"2,332"
Lanyard,6,Direct,"2,161"
Puffer Vest,115,Social Media,"1,840"
Android T-Shirt,20,Paid Search,336
Google Hoodie,124,Social Media,"2,029"
Google Water Bottle,10,Referral,632
Google Hoodie,124,Paid Search,76
Google Hoodie,124,Direct,"3,083"
Google Stickers,5,Referral,"2,510"
Google Stickers,5,Social Media,"1,390"
YouTube Cap,15,Paid Search,298
Google Stickers,5,Social Media,"3,121"
Google Stickers,5,Direct,"2,430"
Puffer Vest,115,Organic Search,"2,266"
Google Stickers,5,Paid Search,487
Google Water Bottle,10,Social Media,"3,232"
Google Stickers,5,Organic Search,707
YouTube Cap,15,Paid Search,"1,171"
Canvas Tote,18,Social Media,"3,058"
Google Stickers,5,Direct,593
Google Stickers,5,Paid Search,"1,840"
Google Stickers,5,Organic Search,"2,767"
Google Stickers,5,Paid Search,"1,168"
Google Stickers,5,Paid Search,"2,074"
Google Stickers,5,Referral,"3,304"
Google Stickers,5,Paid Search,"2,387"
Android T-Shirt,20,Social Media,83
Google Stickers,5,Referral,505
Google Stickers,5,Social Media,"2,669"
Google Stickers,5,Referral,"1,719"
Google Stickers,5,Social Media,"2,901"
Google Stickers,5,Referral,"2,100"
Canvas Tote,18,Referral,"2,367"
Google Hoodie,124,Direct,"1,678"
YouTube Cap,15,Paid Search,"1,345"
Canvas Tote,18,Referral,261
Canvas Tote,18,Direct,"3,524"
Greeting Cards,6,Paid Search,"1,399"
Google Hoodie,124,Direct,"1,074"
Greeting Cards,6,Direct,"3,204"
YouTube Cap,15,Social Media,"1,980"
Google Stickers,5,Direct,"2,831"
YouTube Cap,15,Paid Search,"2,669"
Google Stickers,5,Direct,"2,439"
Android T-Shirt,20,Organic Search,"1,135"
Puffer Vest,115,Direct,"3,042"
Puffer Vest,115,Organic Search,676
Canvas Tote,18,Social Media,"2,393"
Google Stickers,5,Direct,"1,871"
Google Water Bottle,10,Social Media,"2,844"
Greeting Cards,6,Organic Search,347
Google Stickers,5,Social Media,"1,666"
Google Water Bottle,10,Organic Search,"2,422"
Android T-Shirt,20,Organic Search,"2,907"
Google Hoodie,124,Paid Search,"2,020"
Google Hoodie,124,Paid Search,"2,182"
Google Stickers,5,Paid Search,"3,544"
Google Hoodie,124,Organic Search,192
Google Stickers,5,Direct,945
Google Hoodie,124,Referral,"1,534"
Google Hoodie,124,Organic Search,"1,503"
Google Hoodie,124,Organic Search,"2,695"
Google Hoodie,124,Organic Search,550
Google Stickers,5,Referral,429
Google Stickers,5,Social Media,"1,216"
Google Water Bottle,10,Organic Search,"1,235"
Google Hoodie,124,Paid Search,"2,447"
Android T-Shirt,20,Organic Search,785
Android T-Shirt,20,Direct,936
Google Hoodie,124,Referral,"2,100"
Notebook,20,Direct,"1,127"
Google Stickers,5,Social Media,"2,974"
Google Hoodie,124,Organic Search,911
Google Water Bottle,10,Direct,"1,156"
Android T-Shirt,20,Direct,"3,230"
Google Hoodie,124,Paid Search,"3,378"
Backpack,125,Direct,"1,473"
Greeting Cards,6,Referral,841
Greeting Cards,6,Paid Search,"1,988"
Google Stickers,5,Organic Search,"1,137"
Google Water Bottle,10,Organic Search,947
Google Stickers,5,Referral,"3,571"
Google Stickers,5,Direct,"1,916"
Google Hoodie,124,Paid Search,917
Google Stickers,5,Social Media,"3,242"
Google Hoodie,124,Social Media,"1,461"
Lanyard,6,Direct,"1,731"
Google Hoodie,124,Referral,273
Google Stickers,5,Social Media,"3,080"
Google Stickers,5,Paid Search,630
Notebook,20,Paid Search,"2,527"
Google Stickers,5,Social Media,"1,598"
Google Hoodie,124,Paid Search,519
Google Stickers,5,Social Media,676
Puffer Vest,115,Direct,"2,793"
Backpack,125,Paid Search,"1,885"
Android T-Shirt,20,Organic Search,"1,076"
Google Stickers,5,Direct,"3,029"
Puffer Vest,115,Paid Search,"1,639"
Google Stickers,5,Referral,"1,164"
Backpack,125,Direct,903
Lanyard,6,Paid Search,"1,885"
Google Stickers,5,Referral,"2,159"
Greeting Cards,6,Social Media,"1,792"
Google Stickers,5,Social Media,"1,057"
Google Stickers,5,Organic Search,"1,261"
Google Stickers,5,Paid Search,813
Google Stickers,5,Direct,81
Google Stickers,5,Social Media,468
Backpack,125,Paid Search,"3,193"
Google Stickers,5,Paid Search,"3,090"
Greeting Cards,6,Direct,"3,486"
Google Hoodie,124,Paid Search,623
Backpack,125,Organic Search,403
Android T-Shirt,20,Referral,"1,254"
Lanyard,6,Paid Search,116
Google Hoodie,124,Organic Search,"3,258"
Google Hoodie,124,Paid Search,"2,014"
Google Stickers,5,Direct,694
Canvas Tote,18,Direct,"1,245"
Google Stickers,5,Social Media,471
Google Stickers,5,Social Media,"1,832"
Google Hoodie,124,Referral,"3,038"
Notebook,20,Organic Search,"2,048"
Google Stickers,5,Direct,690
Google Stickers,5,Direct,"1,129"
Google Stickers,5,Organic Search,"2,452"
YouTube Cap,15,Paid Search,"1,997"
Google Hoodie,124,Organic Search,"1,354"
Backpack,125,Referral,"1,430"
Lanyard,6,Paid Search,"2,979"
Google Hoodie,124,Organic Search,624
Google Stickers,5,Organic Search,"2,090"
Notebook,20,Social Media,"1,745"
Google Stickers,5,Paid Search,"1,717"
Google Stickers,5,Social Media,300
Android T-Shirt,20,Social Media,624
Greeting Cards,6,Organic Search,887
Notebook,20,Referral,"2,950"
Google Stickers,5,Paid Search,"2,539"
Google Hoodie,124,Social Media,"2,965"
Lanyard,6,Direct,"2,781"
Google Hoodie,124,Social Media,"1,923"
Puffer Vest,115,Social Media,533
Google Stickers,5,Referral,"2,598"
Google Water Bottle,10,Paid Search,"1,266"
Google Stickers,5,Organic Search,"1,276"
Puffer Vest,115,Referral,"2,852"
Google Hoodie,124,Paid Search,"2,806"
Google Stickers,5,Social Media,"1,306"
Google Hoodie,124,Direct,"3,381"
YouTube Cap,15,Direct,"1,483"
Puffer Vest,115,Direct,472
Android T-Shirt,20,Social Media,53
Android T-Shirt,20,Social Media,"1,749"
Lanyard,6,Paid Search,"1,722"
Lanyard,6,Referral,840
Canvas Tote,18,Direct,"2,014"
Google Hoodie,124,Referral,"1,770"
Google Hoodie,124,Organic Search,"2,402"
Google Stickers,5,Direct,"2,473"
Google Stickers,5,Organic Search,"2,824"
Google Stickers,5,Direct,"1,808"
Canvas Tote,18,Social Media,"1,248"
YouTube Cap,15,Organic Search,645
Google Stickers,5,Social Media,"1,015"
Google Stickers,5,Social Media,"3,080"
Canvas Tote,18,Organic Search,"1,550"
Canvas Tote,18,Social Media,"2,266"
Google Hoodie,124,Referral,"1,674"
Google Hoodie,124,Direct,460
Android T-Shirt,20,Organic Search,"1,334"
Google Stickers,5,Social Media,"2,405"
YouTube Cap,15,Organic Search,"1,191"
Greeting Cards,6,Social Media,"2,324"
Google Water Bottle,10,Paid Search,"1,580"
Lanyard,6,Social Media,"1,682"
YouTube Cap,15,Paid Search,"2,378"
Lanyard,6,Social Media,808
Google Stickers,5,Direct,317
Google Hoodie,124,Social Media,"3,297"
Google Stickers,5,Organic Search,"3,204"
Google Hoodie,124,Referral,"1,281"
Google Stickers,5,Direct,"1,885"
YouTube Cap,15,Organic Search,"2,133"
Google Hoodie,124,Direct,"3,058"
Google Hoodie,124,Paid Search,"1,519"
Backpack,125,Referral,"1,038"
Notebook,20,Referral,707
Puffer Vest,115,Paid Search,"1,502"
Puffer Vest,115,Organic Search,"3,012"
Google Stickers,5,Paid Search,"2,962"
Canvas Tote,18,Paid Search,342
Lanyard,6,Direct,"2,714"
YouTube Cap,15,Social Media,"2,679"
Lanyard,6,Social Media,"2,625"
Google Stickers,5,Referral,"3,261"
Notebook,20,Referral,238
Canvas Tote,18,Direct,"3,204"
Google Hoodie,124,Social Media,"3,033"
Google Stickers,5,Organic Search,"2,745"
Notebook,20,Social Media,"2,223"
Google Stickers,5,Social Media,"1,245"
Google Stickers,5,Referral,"2,627"
Google Stickers,5,Direct,163
Google Stickers,5,Referral,"3,528"
Google Stickers,5,Organic Search,587
Notebook,20,Referral,273
Greeting Cards,6,Paid Search,"1,585"
Puffer Vest,115,Social Media,"2,830"
Google Stickers,5,Paid Search,"2,040"
Lanyard,6,Direct,"3,065"
Google Hoodie,124,Direct,755
Lanyard,6,Referral,"2,271"
Google Water Bottle,10,Paid Search,"1,136"
YouTube Cap,15,Social Media,"1,839"
Google Stickers,5,Paid Search,746
Google Hoodie,124,Organic Search,"1,933"
Backpack,125,Social Media,828
Notebook,20,Organic Search,"3,297"
Lanyard,6,Direct,"3,058"
Google Stickers,5,Organic Search,"3,524"
Google Stickers,5,Organic Search,"1,133"
Lanyard,6,Organic Search,"1,937"
Google Stickers,5,Social Media,"2,954"
Notebook,20,Social Media,"3,204"
Backpack,125,Organic Search,"2,974"
Google Stickers,5,Referral,106
Google Hoodie,124,Organic Search,"3,434"
Google Stickers,5,Direct,955
Google Water Bottle,10,Paid Search,512
Lanyard,6,Referral,"3,447"
Google Stickers,5,Social Media,"2,625"
Google Stickers,5,Referral,"2,109"
Notebook,20,Organic Search,590
Lanyard,6,Referral,"3,145"
Google Stickers,5,Organic Search,159
Backpack,125,Social Media,"1,065"
YouTube Cap,15,Organic Search,"2,947"
YouTube Cap,15,Direct,"1,021"
Greeting Cards,6,Organic Search,"3,218"
Backpack,125,Social Media,"1,438"
Canvas Tote,18,Paid Search,"1,060"
Canvas Tote,18,Referral,"1,178"
